Genus_species	Sample	Input Reads	Surviving Reads	Percent Surviving
F_grandis	F_grandis_NA_transfer_3	20081935	19948212	99.33
F_heteroclitus.MDPL	F_heteroclitus.MDPL_transfer_3	45805608	45646643	99.65
F_chrysotus	F_chrysotus_NA_FW_3	18789624	18722861	99.64
F_chrysotus	F_chrysotus_NA_FW_2	15495308	15357025	99.11
F_chrysotus	F_chrysotus_NA_FW_1	14275369	14167358	99.24
F_notti	F_notti_NA_FW_1	11289585	11162313	98.87
F_diaphanus	F_diaphanus_NA_BW_1	9304027	9254609	99.47
F_diaphanus	F_diaphanus_NA_BW_2	10785063	10692284	99.14
F_notti	F_notti_NA_FW_2	12058909	11965930	99.23
F_notatus	F_notatus_NA_FW_1	9002231	8889846	98.75
F_notatus	F_notatus_NA_FW_3	18730504	18507786	98.81
F_notatus	F_notatus_NA_FW_2	12113660	11989642	98.98
F_rathbuni	F_rathbuni_NA_FW_3	15786079	15696919	99.44
F_rathbuni	F_rathbuni_NA_FW_2	52821614	52270754	98.96
F_rathbuni	F_rathbuni_NA_FW_1	15690887	15549802	99.10
A_xenica	A_xenica_NA_FW_1	16289423	16197053	99.43
A_xenica	A_xenica_NA_FW_3	11759903	11711367	99.59
A_xenica	A_xenica_NA_FW_2	7610310	7546347	99.16
F_grandis	F_grandis_NA_transfer_1	23696114	23483767	99.10
F_heteroclitus.MDPL	F_heteroclitus.MDPL_transfer_1	18365745	18256103	99.40
F_heteroclitus.MDPL	F_heteroclitus.MDPL_transfer_2	20535903	20380048	99.24
F_grandis	F_grandis_NA_transfer_2	16230021	16065981	98.99
L_parva	L_parva_NA_transfer_1	14723408	14558295	98.88
L_parva	L_parva_NA_transfer_3	12882551	12824055	99.55
L_parva	L_parva_NA_transfer_2	19686042	19588679	99.51
F_diaphanus	F_diaphanus_NA_transfer_2	6571329	6499168	98.90
F_diaphanus	F_diaphanus_NA_transfer_1	18208922	18083682	99.31
F_similis	F_similis_NA_BW_3	10009516	9973496	99.64
F_similis	F_similis_NA_BW_2	10821719	10732969	99.18
F_similis	F_similis_NA_BW_1	15041589	14960784	99.46
F_heteroclitus.MDPL	F_heteroclitus.MDPL_FW_2	9115151	9002807	98.77
L_parva	L_parva_NA_FW_3	12101746	12055545	99.62
L_parva	L_parva_NA_FW_2	18159750	18082999	99.58
L_parva	L_parva_NA_FW_1	10801489	10751143	99.53
F_parvapinis	F_parvapinis_NA_BW_1	6373998	6322176	99.19
F_parvapinis	F_parvapinis_NA_BW_3	7360385	7319775	99.45
F_parvapinis	F_parvapinis_NA_BW_2	7691355	7593736	98.73
F_chrysotus	F_chrysotus_NA_transfer_1	9099949	9029936	99.23
F_chrysotus	F_chrysotus_NA_transfer_2	19880476	19661192	98.90
A_xenica	A_xenica_NA_transfer_3	11488889	11433429	99.52
A_xenica	A_xenica_NA_transfer_2	16659724	16472207	98.87
A_xenica	A_xenica_NA_transfer_1	8813148	8746371	99.24
F_sciadicus	F_sciadicus_NA_transfer_1	10812137	10722737	99.17
F_notatus	F_notatus_NA_transfer_3	14443443	14363008	99.44
F_notatus	F_notatus_NA_transfer_2	12337870	12223542	99.07
F_notatus	F_notatus_NA_transfer_1	33631288	33383973	99.26
F_diaphanus	F_diaphanus_NA_FW_1	31400300	31169859	99.27
F_diaphanus	F_diaphanus_NA_FW_2	10373266	10328540	99.57
F_diaphanus	F_diaphanus_NA_FW_3	13622481	13557447	99.52
F_olivaceous	F_olivaceous_NA_BW_2	20204987	20048331	99.22
F_olivaceous	F_olivaceous_NA_FW_2	9787700	9677494	98.87
F_olivaceous	F_olivaceous_NA_FW_3	8896418	8855149	99.54
F_olivaceous	F_olivaceous_NA_FW_1	14335813	14222455	99.21
L_parva	L_parva_NA_BW_3	15104578	15034887	99.54
L_parva	L_parva_NA_BW_2	10964790	10915439	99.55
L_parva	L_parva_NA_BW_1	13536496	13483425	99.61
F_olivaceous	F_olivaceous_NA_BW_1	11737649	11678006	99.49
F_olivaceous	F_olivaceous_NA_transfer_1	11437097	11363217	99.35
F_olivaceous	F_olivaceous_NA_transfer_2	6853982	6785468	99.00
F_similis	F_similis_NA_FW_3	10089242	10041307	99.52
F_similis	F_similis_NA_FW_2	9368030	9258264	98.83
F_similis	F_similis_NA_FW_1	17019396	16846774	98.99
F_catanatus	F_catanatus_NA_FW_1	7719420	7658501	99.21
F_heteroclitus.MDPL	F_heteroclitus.MDPL_BW_2	11072740	10920401	98.62
F_catanatus	F_catanatus_NA_FW_2	36860538	36449488	98.88
F_catanatus	F_catanatus_NA_BW_1	8030678	7977399	99.34
F_catanatus	F_catanatus_NA_BW_3	16052631	15941546	99.31
F_catanatus	F_catanatus_NA_BW_2	15643177	15503682	99.11
F_rathbuni	F_rathbuni_NA_BW_3	12687300	12632496	99.57
F_rathbuni	F_rathbuni_NA_BW_2	11031365	10919330	98.98
F_rathbuni	F_rathbuni_NA_BW_1	13514086	13396073	99.13
F_heteroclitus.MDPL	F_heteroclitus.MDPL_BW_1	16523320	16410580	99.32
F_rathbuni	F_rathbuni_NA_transfer_1	23947361	23829203	99.51
F_heteroclitus.MDPL	F_heteroclitus.MDPL_FW_3	21321342	21211468	99.48
F_grandis	F_grandis_NA_FW_1	33661642	33457773	99.39
F_heteroclitus.MDPL	F_heteroclitus.MDPL_FW_1	14147458	14011727	99.04
F_zebrinus	F_zebrinus_NA_BW_2	8977854	8876128	98.87
F_zebrinus	F_zebrinus_NA_BW_1	12031830	11937229	99.21
F_grandis	F_grandis_NA_FW_3	31111572	30995732	99.63
F_grandis	F_grandis_NA_FW_2	12980471	12890089	99.30
F_catanatus	F_catanatus_NA_transfer_2	50723986	50335635	99.23
F_catanatus	F_catanatus_NA_transfer_1	30075547	29907018	99.44
F_rathbuni	F_rathbuni_NA_transfer_3	18098773	17991052	99.40
L_goodei	L_goodei_NA_FW_1	22802376	22651669	99.34
L_goodei	L_goodei_NA_FW_3	8110153	8030687	99.02
L_goodei	L_goodei_NA_FW_2	7021444	6987318	99.51
F_rathbuni	F_rathbuni_NA_transfer_2	11543974	11444433	99.14
F_sciadicus	F_sciadicus_NA_FW_2	5886392	5828868	99.02
F_sciadicus	F_sciadicus_NA_FW_1	7726019	7672002	99.30
F_grandis	F_grandis_NA_BW_2	3756677	3711972	98.81
F_heteroclitus.MDPP	F_heteroclitus.MDPP_transfer_1	9436924	9364787	99.24
F_heteroclitus.MDPL	F_heteroclitus.MDPL_BW_3	3650639	3632449	99.50
F_similis	F_similis_NA_transfer_1	14555376	14469104	99.41
F_heteroclitus.MDPP	F_heteroclitus.MDPP_transfer_2	14218511	14078705	99.02
F_similis	F_similis_NA_transfer_3	10308803	10265205	99.58
F_similis	F_similis_NA_transfer_2	6900428	6833861	99.04
F_heteroclitus.MDPP	F_heteroclitus.MDPP_transfer_3	15065332	14993255	99.52
F_grandis	F_grandis_NA_BW_3	10721690	10644072	99.28
A_xenica	A_xenica_NA_BW_1	19503575	19361898	99.27
F_grandis	F_grandis_NA_BW_1	82430046	81736962	99.16
F_notatus	F_notatus_NA_BW_2	10558419	10480023	99.26
F_notatus	F_notatus_NA_BW_1	32171453	31996438	99.46
F_notatus	F_notatus_NA_BW_3	32548515	32406248	99.56
F_olivaceous	F_olivaceous_NA_BW_3	18180511	18114026	99.63
