Sample	Top over-represented sequence	Sum of remaining over-represented sequences
F_heteroclitus_MDPL_BW_1_R2	0.2869701730644931	0.0
F_heteroclitus_MDPL_BW_2_R1	0.3820463588958108	0.0
F_heteroclitus_MDPL_BW_2_R2	0.1976204625052155	0.0
F_heteroclitus_MDPL_BW_3_R1	0.0	0.0
F_heteroclitus_MDPL_BW_3_R2	0.14134511793688723	0.0
F_heteroclitus_MDPL_FW_1_R1	0.15768910570365363	0.10182748024415411
F_heteroclitus_MDPL_FW_1_R2	0.1214988586642208	0.0
F_heteroclitus_MDPL_FW_2_R1	0.0	0.0
F_heteroclitus_MDPL_FW_2_R2	0.0	0.0
F_heteroclitus_MDPL_FW_3_R1	0.10042519837634985	0.0
F_heteroclitus_MDPL_FW_3_R2	0.0	0.0
F_heteroclitus_MDPL_transfer_1_R1	0.0	0.0
F_heteroclitus_MDPL_transfer_1_R2	0.0	0.0
F_heteroclitus_MDPL_transfer_2_R1	0.24199568920830997	0.0
F_heteroclitus_MDPL_transfer_2_R2	0.38219405302021536	0.0
F_heteroclitus_MDPL_transfer_3_R1	0.0	0.0
F_heteroclitus_MDPL_transfer_3_R2	0.0	0.0
F_heteroclitus_MDPP_BW_1_R1	0.33685193666473545	0.12241207571231133
F_heteroclitus_MDPP_BW_1_R2	0.6383179078777443	0.0
F_heteroclitus_MDPP_BW_2_R1	0.0	0.0
F_heteroclitus_MDPP_BW_2_R2	0.1944938386575203	0.0
F_heteroclitus_MDPP_BW_3_R1	0.0	0.0
F_heteroclitus_MDPP_BW_3_R2	0.0	0.0
F_heteroclitus_MDPP_FW_1_R1	0.13908803234985295	0.0
F_heteroclitus_MDPP_FW_1_R2	0.19226571744008925	0.0
F_heteroclitus_MDPP_FW_2_R1	0.0	0.0
F_heteroclitus_MDPP_FW_2_R2	0.0	0.0
F_heteroclitus_MDPP_FW_3_R1	0.10627175434321408	0.0
F_heteroclitus_MDPP_FW_3_R2	0.0	0.0
F_heteroclitus_MDPP_transfer_1_R1	0.0	0.0
F_heteroclitus_MDPP_transfer_1_R2	0.10227909009333973	0.0
F_heteroclitus_MDPP_transfer_2_R1	0.0	0.0
F_heteroclitus_MDPP_transfer_2_R2	0.0	0.0
F_heteroclitus_MDPP_transfer_3_R1	0.0	0.0
F_heteroclitus_MDPP_transfer_3_R2	0.0	0.0
F_notatus_NA_BW_1_R1	0.0	0.0
F_notatus_NA_BW_1_R2	0.0	0.0
F_notatus_NA_BW_2_R1	0.0	0.0
F_notatus_NA_BW_2_R2	0.0	0.0
F_notatus_NA_BW_3_R1	0.11804839637077146	0.0
F_notatus_NA_BW_3_R2	0.0	0.0
F_notatus_NA_FW_1_R1	0.22754359447119274	0.14848541433784582
F_notatus_NA_FW_1_R2	0.22949866538639146	0.0
F_notatus_NA_FW_2_R1	0.0	0.0
F_notatus_NA_FW_2_R2	0.0	0.0
F_notatus_NA_FW_3_R1	0.6457968242605752	0.20359836553250243
F_notatus_NA_FW_3_R2	0.2829128356610159	0.0
F_notatus_NA_transfer_1_R1	0.0	0.0
F_notatus_NA_transfer_1_R2	0.12755681554628534	0.0
F_notatus_NA_transfer_2_R1	0.12264677776634055	0.0
F_notatus_NA_transfer_2_R2	0.0	0.0
F_notatus_NA_transfer_3_R1	0.16516145077042918	0.0
F_notatus_NA_transfer_3_R2	0.16462833688615658	0.0
F_notti_NA_FW_1_R1	0.0	0.0
F_notti_NA_FW_1_R2	0.0	0.0
F_notti_NA_FW_2_R1	0.0	0.0
F_notti_NA_FW_2_R2	0.1527418442248797	0.0
F_olivaceous_NA_BW_1_R1	0.0	0.0
F_olivaceous_NA_BW_1_R2	0.11335319364209988	0.0
F_olivaceous_NA_BW_2_R1	0.0	0.0
F_olivaceous_NA_BW_2_R2	0.0	0.0
F_olivaceous_NA_BW_3_R1	0.14411586120984168	0.0
F_olivaceous_NA_BW_3_R2	0.20889401843545544	0.0
F_olivaceous_NA_FW_1_R1	0.0	0.0
F_olivaceous_NA_FW_1_R2	0.0	0.0
F_olivaceous_NA_FW_2_R1	0.0	0.0
F_olivaceous_NA_FW_2_R2	0.0	0.0
F_olivaceous_NA_FW_3_R1	0.0	0.0
F_olivaceous_NA_FW_3_R2	0.0	0.0
F_olivaceous_NA_transfer_1_R1	0.0	0.0
F_olivaceous_NA_transfer_1_R2	0.0	0.0
F_olivaceous_NA_transfer_2_R1	0.0	0.0
F_olivaceous_NA_transfer_2_R2	0.10827282592805175	0.0
F_parvapinis_NA_BW_1_R1	0.1373549222952376	0.0
F_parvapinis_NA_BW_1_R2	0.17554131645475887	0.0
F_parvapinis_NA_BW_2_R1	0.11274996408305168	0.10477997700015149
F_parvapinis_NA_BW_2_R2	0.1260246081477191	0.0
F_parvapinis_NA_BW_3_R1	0.1176840613636379	0.11144797452850633
F_parvapinis_NA_BW_3_R2	0.13948998591785622	0.0
F_parvapinis_NA_FW_1_R1	0.4453782145853464	0.3667666676156012
F_parvapinis_NA_FW_1_R2	0.5565186775425722	0.3930891334162814
F_parvapinis_NA_FW_2_R1	0.10906480522615654	0.0
F_parvapinis_NA_FW_2_R2	0.12533231378408705	0.11913819598290476
F_parvapinis_NA_FW_3_R1	0.22548041371884905	0.1797576868857634
F_parvapinis_NA_FW_3_R2	0.24872568952212692	0.16599876231600225
F_parvapinis_NA_transfer_1_R1	1.6372044069971077	0.1998061620882141
F_parvapinis_NA_transfer_1_R2	2.158107570907087	0.0
F_parvapinis_NA_transfer_2_R1	0.24013002019006086	0.0
F_parvapinis_NA_transfer_2_R2	0.0	0.0
F_rathbuni_NA_BW_1_R1	0.16803948117541948	0.16701092474918391
F_rathbuni_NA_BW_1_R2	0.29970210342009074	0.0
F_rathbuni_NA_BW_2_R1	0.4560269739964184	0.0
F_rathbuni_NA_BW_2_R2	0.7570867249882495	0.0
F_rathbuni_NA_BW_3_R1	0.0	0.0
F_rathbuni_NA_BW_3_R2	0.0	0.0
F_rathbuni_NA_FW_1_R1	0.1751335026502963	0.17406281748125518
F_rathbuni_NA_FW_1_R2	0.2614702406562484	0.0
F_rathbuni_NA_FW_2_R1	0.0	0.0
F_rathbuni_NA_FW_2_R2	0.0	0.0
F_rathbuni_NA_FW_3_R1	0.1706756947054427	0.0
F_rathbuni_NA_FW_3_R2	0.0	0.0
F_rathbuni_NA_transfer_1_R1	0.0	0.0
F_rathbuni_NA_transfer_1_R2	0.0	0.0
F_rathbuni_NA_transfer_2_R1	0.13105538872488798	0.0
F_rathbuni_NA_transfer_2_R2	0.0	0.0
F_rathbuni_NA_transfer_3_R1	0.24739246135635826	0.0
F_rathbuni_NA_transfer_3_R2	0.0	0.0
F_sciadicus_NA_BW_1_R1	0.0	0.0
F_sciadicus_NA_BW_1_R2	0.0	0.0
F_sciadicus_NA_BW_2_R1	0.0	0.0
F_sciadicus_NA_BW_2_R2	0.1387658589176516	0.0
F_sciadicus_NA_FW_1_R1	0.0	0.0
F_sciadicus_NA_FW_1_R2	0.14801930981531367	0.0
F_sciadicus_NA_FW_2_R1	0.0	0.0
F_sciadicus_NA_FW_2_R2	0.1362464477391244	0.0
F_sciadicus_NA_transfer_1_R1	0.0	0.0
F_sciadicus_NA_transfer_1_R2	0.12569208103818885	0.0
F_similis_NA_BW_1_R1	0.0	0.0
F_similis_NA_BW_1_R2	0.1225801343195855	0.0
F_similis_NA_BW_2_R1	0.15536348707631384	0.0
F_similis_NA_BW_2_R2	0.2660667866168027	0.0
F_similis_NA_BW_3_R1	0.14896824182108306	0.21684365158115534
F_similis_NA_BW_3_R2	0.21080939378087812	0.10786735342647938
F_similis_NA_FW_1_R1	1.8233020725294833	0.42485056461463166
F_similis_NA_FW_1_R2	2.6752300727945926	0.2028685389305238
F_similis_NA_FW_2_R1	0.16797555088956803	0.11314011590483805
F_similis_NA_FW_2_R2	0.26695046877518536	0.12497825049663591
F_similis_NA_FW_3_R1	0.18231300230483122	0.29459101090052153
F_similis_NA_FW_3_R2	0.17713917457822898	0.30349158043785646
F_similis_NA_transfer_1_R1	0.14514224847231705	0.0
F_similis_NA_transfer_1_R2	0.17585255097497995	0.0
F_similis_NA_transfer_2_R1	0.12305033832684001	0.21039274665281635
F_similis_NA_transfer_2_R2	0.14099125445552071	0.24031842662513106
F_similis_NA_transfer_3_R1	0.15758376602986787	0.2770544747047742
F_similis_NA_transfer_3_R2	0.17601461585792258	0.2577505846217063
F_zebrinus_NA_BW_1_R1	0.14179887847484549	0.0
F_zebrinus_NA_BW_1_R2	0.37520476934930097	0.0
F_zebrinus_NA_BW_2_R1	0.13871911929064562	0.0
F_zebrinus_NA_BW_2_R2	0.24835556470399275	0.0
F_zebrinus_NA_FW_1_R1	0.0	0.0
F_zebrinus_NA_FW_1_R2	0.0	0.0
F_zebrinus_NA_FW_2_R1	0.1018396950117666	0.0
F_zebrinus_NA_FW_2_R2	0.2125612289935869	0.0
L_goodei_NA_BW_1_R1	0.10571848715735098	0.0
L_goodei_NA_BW_1_R2	0.18210021475666024	0.0
L_goodei_NA_BW_2_R1	0.0	0.0
L_goodei_NA_BW_2_R2	0.0	0.0
L_goodei_NA_BW_3_R1	0.0	0.0
L_goodei_NA_BW_3_R2	0.17217932970696612	0.0
L_goodei_NA_FW_1_R1	0.0	0.0
L_goodei_NA_FW_1_R2	0.1334817038364774	0.0
L_goodei_NA_FW_2_R1	0.13115535778680282	0.1136233515499091
L_goodei_NA_FW_2_R2	0.24701471663093802	0.0
L_goodei_NA_FW_3_R1	0.13908492231897474	0.0
L_goodei_NA_FW_3_R2	0.22212897833123493	0.0
L_goodei_NA_transfer_1_R1	0.0	0.0
L_goodei_NA_transfer_1_R2	0.1390743123800772	0.0
L_goodei_NA_transfer_2_R1	0.0	0.0
L_goodei_NA_transfer_2_R2	0.15814438632802202	0.0
L_goodei_NA_transfer_3_R1	0.0	0.0
L_goodei_NA_transfer_3_R2	0.14469865641612897	0.0
L_parva_NA_BW_1_R1	0.15800987197868635	0.0
L_parva_NA_BW_1_R2	0.19466633019357446	0.0
L_parva_NA_BW_2_R1	0.19922862179759027	0.0
L_parva_NA_BW_2_R2	0.25369386919402925	0.0
L_parva_NA_BW_3_R1	0.12263831535048514	0.0
L_parva_NA_BW_3_R2	0.1513249823993759	0.0
L_parva_NA_FW_1_R1	0.12227017960209005	0.0
L_parva_NA_FW_1_R2	0.16543089568484493	0.0
L_parva_NA_FW_2_R1	0.0	0.0
L_parva_NA_FW_2_R2	0.0	0.0
L_parva_NA_FW_3_R1	0.0	0.0
L_parva_NA_FW_3_R2	0.10096890151222807	0.0
L_parva_NA_transfer_1_R1	0.0	0.0
L_parva_NA_transfer_1_R2	0.0	0.0
L_parva_NA_transfer_2_R1	0.10401786199582425	0.0
L_parva_NA_transfer_2_R2	0.0	0.0
L_parva_NA_transfer_3_R1	0.0	0.0
L_parva_NA_transfer_3_R2	0.0	0.0
