Sample	sequence_length_distribution	overrepresented_sequences	%GC	per_base_sequence_quality	Encoding	avg_sequence_length	per_sequence_quality_scores	per_base_n_content	Filtered Sequences	per_base_sequence_content	Sequence length	File type	sequence_duplication_levels	per_sequence_gc_content	per_base_gc_content	kmer_content	Total Sequences	basic_statistics	Filename
F_catanatus_NA_BW_3_R2	pass	warn	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	16052631.0	pass	F_catanatus_NA_BW_3_R2.fastq.gz
F_catanatus_NA_FW_1_R1	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	7719420.0	pass	F_catanatus_NA_FW_1_R1.fastq.gz
F_catanatus_NA_FW_1_R2	pass	warn	50.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	7719420.0	pass	F_catanatus_NA_FW_1_R2.fastq.gz
F_catanatus_NA_FW_2_R1	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	36860538.0	pass	F_catanatus_NA_FW_2_R1.fastq.gz
F_catanatus_NA_FW_2_R2	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	36860538.0	pass	F_catanatus_NA_FW_2_R2.fastq.gz
F_catanatus_NA_transfer_1_R1	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	fail	30075547.0	pass	F_catanatus_NA_transfer_1_R1.fastq.gz
F_catanatus_NA_transfer_1_R2	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	fail	30075547.0	pass	F_catanatus_NA_transfer_1_R2.fastq.gz
F_catanatus_NA_transfer_2_R1	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	50723986.0	pass	F_catanatus_NA_transfer_2_R1.fastq.gz
F_catanatus_NA_transfer_2_R2	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	50723986.0	pass	F_catanatus_NA_transfer_2_R2.fastq.gz
F_chrysotus_NA_BW_1_R1	pass	warn	47.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	fail	fail	fail	13768147.0	pass	F_chrysotus_NA_BW_1_R1.fastq.gz
F_chrysotus_NA_BW_1_R2	pass	warn	47.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	13768147.0	pass	F_chrysotus_NA_BW_1_R2.fastq.gz
F_chrysotus_NA_BW_2_R1	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	23276982.0	pass	F_chrysotus_NA_BW_2_R1.fastq.gz
F_chrysotus_NA_BW_2_R2	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	23276982.0	pass	F_chrysotus_NA_BW_2_R2.fastq.gz
F_chrysotus_NA_BW_3_R1	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	15377627.0	pass	F_chrysotus_NA_BW_3_R1.fastq.gz
F_chrysotus_NA_BW_3_R2	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	15377627.0	pass	F_chrysotus_NA_BW_3_R2.fastq.gz
F_chrysotus_NA_FW_1_R1	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	14275369.0	pass	F_chrysotus_NA_FW_1_R1.fastq.gz
F_chrysotus_NA_FW_1_R2	pass	warn	48.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	14275369.0	pass	F_chrysotus_NA_FW_1_R2.fastq.gz
F_chrysotus_NA_FW_2_R1	pass	warn	47.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	15495308.0	pass	F_chrysotus_NA_FW_2_R1.fastq.gz
F_chrysotus_NA_FW_2_R2	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	fail	15495308.0	pass	F_chrysotus_NA_FW_2_R2.fastq.gz
F_chrysotus_NA_FW_3_R1	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	fail	18789624.0	pass	F_chrysotus_NA_FW_3_R1.fastq.gz
F_chrysotus_NA_FW_3_R2	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	fail	18789624.0	pass	F_chrysotus_NA_FW_3_R2.fastq.gz
F_chrysotus_NA_transfer_1_R1	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	9099949.0	pass	F_chrysotus_NA_transfer_1_R1.fastq.gz
F_chrysotus_NA_transfer_1_R2	pass	pass	49.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	9099949.0	pass	F_chrysotus_NA_transfer_1_R2.fastq.gz
F_chrysotus_NA_transfer_2_R1	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	19880476.0	pass	F_chrysotus_NA_transfer_2_R1.fastq.gz
F_chrysotus_NA_transfer_2_R2	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	19880476.0	pass	F_chrysotus_NA_transfer_2_R2.fastq.gz
F_diaphanus_NA_BW_1_R1	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	9304027.0	pass	F_diaphanus_NA_BW_1_R1.fastq.gz
F_diaphanus_NA_BW_1_R2	pass	warn	50.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	9304027.0	pass	F_diaphanus_NA_BW_1_R2.fastq.gz
F_diaphanus_NA_BW_2_R1	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	10785063.0	pass	F_diaphanus_NA_BW_2_R1.fastq.gz
F_diaphanus_NA_BW_2_R2	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	10785063.0	pass	F_diaphanus_NA_BW_2_R2.fastq.gz
F_diaphanus_NA_FW_1_R1	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	31400300.0	pass	F_diaphanus_NA_FW_1_R1.fastq.gz
F_diaphanus_NA_FW_1_R2	pass	pass	49.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	fail	fail	fail	31400300.0	pass	F_diaphanus_NA_FW_1_R2.fastq.gz
F_diaphanus_NA_FW_2_R1	pass	warn	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	10373266.0	pass	F_diaphanus_NA_FW_2_R1.fastq.gz
F_diaphanus_NA_FW_2_R2	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	10373266.0	pass	F_diaphanus_NA_FW_2_R2.fastq.gz
F_diaphanus_NA_FW_3_R1	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	13622481.0	pass	F_diaphanus_NA_FW_3_R1.fastq.gz
F_diaphanus_NA_FW_3_R2	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	13622481.0	pass	F_diaphanus_NA_FW_3_R2.fastq.gz
F_diaphanus_NA_transfer_1_R1	pass	warn	47.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	18208922.0	pass	F_diaphanus_NA_transfer_1_R1.fastq.gz
F_diaphanus_NA_transfer_1_R2	pass	warn	47.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	fail	fail	fail	18208922.0	pass	F_diaphanus_NA_transfer_1_R2.fastq.gz
F_diaphanus_NA_transfer_2_R1	pass	warn	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	6571329.0	pass	F_diaphanus_NA_transfer_2_R1.fastq.gz
F_diaphanus_NA_transfer_2_R2	pass	warn	49.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	6571329.0	pass	F_diaphanus_NA_transfer_2_R2.fastq.gz
F_grandis_NA_BW_1_R1	pass	pass	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	fail	82430046.0	pass	F_grandis_NA_BW_1_R1.fastq.gz
F_grandis_NA_BW_1_R2	pass	pass	48.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	fail	82430046.0	pass	F_grandis_NA_BW_1_R2.fastq.gz
F_grandis_NA_BW_2_R1	pass	warn	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	3756677.0	pass	F_grandis_NA_BW_2_R1.fastq.gz
F_grandis_NA_BW_2_R2	pass	warn	49.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	3756677.0	pass	F_grandis_NA_BW_2_R2.fastq.gz
F_grandis_NA_BW_3_R1	pass	warn	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	10721690.0	pass	F_grandis_NA_BW_3_R1.fastq.gz
F_grandis_NA_BW_3_R2	pass	pass	50.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	10721690.0	pass	F_grandis_NA_BW_3_R2.fastq.gz
F_grandis_NA_FW_1_R1	pass	pass	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	fail	33661642.0	pass	F_grandis_NA_FW_1_R1.fastq.gz
F_grandis_NA_FW_1_R2	pass	pass	48.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	fail	fail	fail	33661642.0	pass	F_grandis_NA_FW_1_R2.fastq.gz
F_grandis_NA_FW_2_R1	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	12980471.0	pass	F_grandis_NA_FW_2_R1.fastq.gz
F_grandis_NA_FW_2_R2	pass	pass	51.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	12980471.0	pass	F_grandis_NA_FW_2_R2.fastq.gz
F_grandis_NA_FW_3_R1	pass	warn	53.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	pass	fail	warn	31111572.0	pass	F_grandis_NA_FW_3_R1.fastq.gz
F_grandis_NA_FW_3_R2	pass	warn	53.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	pass	fail	warn	31111572.0	pass	F_grandis_NA_FW_3_R2.fastq.gz
F_grandis_NA_transfer_1_R1	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	fail	23696114.0	pass	F_grandis_NA_transfer_1_R1.fastq.gz
F_grandis_NA_transfer_1_R2	pass	pass	49.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	fail	23696114.0	pass	F_grandis_NA_transfer_1_R2.fastq.gz
F_grandis_NA_transfer_2_R1	pass	pass	52.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	16230021.0	pass	F_grandis_NA_transfer_2_R1.fastq.gz
F_grandis_NA_transfer_2_R2	pass	warn	52.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	16230021.0	pass	F_grandis_NA_transfer_2_R2.fastq.gz
F_grandis_NA_transfer_3_R1	pass	warn	52.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	fail	20081935.0	pass	F_grandis_NA_transfer_3_R1.fastq.gz
F_grandis_NA_transfer_3_R2	pass	pass	53.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	20081935.0	pass	F_grandis_NA_transfer_3_R2.fastq.gz
F_heteroclitus_MDPL_BW_1_R1	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	16523320.0	pass	F_heteroclitus_MDPL_BW_1_R1.fastq.gz
F_heteroclitus_MDPL_BW_1_R2	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	16523320.0	pass	F_heteroclitus_MDPL_BW_1_R2.fastq.gz
F_heteroclitus_MDPL_BW_2_R1	pass	warn	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	11072740.0	pass	F_heteroclitus_MDPL_BW_2_R1.fastq.gz
F_heteroclitus_MDPL_BW_2_R2	pass	warn	50.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	11072740.0	pass	F_heteroclitus_MDPL_BW_2_R2.fastq.gz
F_heteroclitus_MDPL_BW_3_R1	pass	pass	51.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	3650639.0	pass	F_heteroclitus_MDPL_BW_3_R1.fastq.gz
F_heteroclitus_MDPL_BW_3_R2	pass	warn	51.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	3650639.0	pass	F_heteroclitus_MDPL_BW_3_R2.fastq.gz
F_heteroclitus_MDPL_FW_1_R1	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	14147458.0	pass	F_heteroclitus_MDPL_FW_1_R1.fastq.gz
F_heteroclitus_MDPL_FW_1_R2	pass	warn	48.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	14147458.0	pass	F_heteroclitus_MDPL_FW_1_R2.fastq.gz
F_heteroclitus_MDPL_FW_2_R1	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	9115151.0	pass	F_heteroclitus_MDPL_FW_2_R1.fastq.gz
F_heteroclitus_MDPL_FW_2_R2	pass	pass	50.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	9115151.0	pass	F_heteroclitus_MDPL_FW_2_R2.fastq.gz
F_heteroclitus_MDPL_FW_3_R1	pass	warn	51.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	21321342.0	pass	F_heteroclitus_MDPL_FW_3_R1.fastq.gz
F_heteroclitus_MDPL_FW_3_R2	pass	pass	51.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	21321342.0	pass	F_heteroclitus_MDPL_FW_3_R2.fastq.gz
F_heteroclitus_MDPL_transfer_1_R1	pass	pass	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	18365745.0	pass	F_heteroclitus_MDPL_transfer_1_R1.fastq.gz
F_heteroclitus_MDPL_transfer_1_R2	pass	pass	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	18365745.0	pass	F_heteroclitus_MDPL_transfer_1_R2.fastq.gz
F_heteroclitus_MDPL_transfer_2_R1	pass	warn	47.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	20535903.0	pass	F_heteroclitus_MDPL_transfer_2_R1.fastq.gz
F_heteroclitus_MDPL_transfer_2_R2	pass	warn	47.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	20535903.0	pass	F_heteroclitus_MDPL_transfer_2_R2.fastq.gz
F_heteroclitus_MDPL_transfer_3_R1	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	45805608.0	pass	F_heteroclitus_MDPL_transfer_3_R1.fastq.gz
F_heteroclitus_MDPL_transfer_3_R2	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	45805608.0	pass	F_heteroclitus_MDPL_transfer_3_R2.fastq.gz
F_heteroclitus_MDPP_BW_1_R1	pass	warn	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	fail	fail	fail	19773376.0	pass	F_heteroclitus_MDPP_BW_1_R1.fastq.gz
F_heteroclitus_MDPP_BW_1_R2	pass	warn	49.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	fail	fail	fail	19773376.0	pass	F_heteroclitus_MDPP_BW_1_R2.fastq.gz
F_heteroclitus_MDPP_BW_2_R1	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	20456175.0	pass	F_heteroclitus_MDPP_BW_2_R1.fastq.gz
F_heteroclitus_MDPP_BW_2_R2	pass	warn	49.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	20456175.0	pass	F_heteroclitus_MDPP_BW_2_R2.fastq.gz
F_heteroclitus_MDPP_BW_3_R1	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	11950841.0	pass	F_heteroclitus_MDPP_BW_3_R1.fastq.gz
F_heteroclitus_MDPP_BW_3_R2	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	11950841.0	pass	F_heteroclitus_MDPP_BW_3_R2.fastq.gz
F_heteroclitus_MDPP_FW_1_R1	pass	warn	47.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	fail	fail	fail	19393473.0	pass	F_heteroclitus_MDPP_FW_1_R1.fastq.gz
F_heteroclitus_MDPP_FW_1_R2	pass	warn	47.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	fail	fail	fail	19393473.0	pass	F_heteroclitus_MDPP_FW_1_R2.fastq.gz
F_heteroclitus_MDPP_FW_2_R1	pass	pass	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	10865487.0	pass	F_heteroclitus_MDPP_FW_2_R1.fastq.gz
F_heteroclitus_MDPP_FW_2_R2	pass	pass	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	10865487.0	pass	F_heteroclitus_MDPP_FW_2_R2.fastq.gz
F_heteroclitus_MDPP_FW_3_R1	pass	warn	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	17375266.0	pass	F_heteroclitus_MDPP_FW_3_R1.fastq.gz
F_heteroclitus_MDPP_FW_3_R2	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	17375266.0	pass	F_heteroclitus_MDPP_FW_3_R2.fastq.gz
F_heteroclitus_MDPP_transfer_1_R1	pass	pass	46.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	9436924.0	pass	F_heteroclitus_MDPP_transfer_1_R1.fastq.gz
